Question_number,Internal.ID,answer,answer_n,Question
C1,179,I had to change the answer to the previous question. It never occurred to me that software would include hardware and people.,Other,
C1,189,"Research software is actual software -- computer code and executable programs necessary to complete research.   It doesn't not include people even though people may be needed to create, use and maintain it.",Other,
C1,196,definition above would also apply to digital research infrastructure in general,Other,
C1,201,"This definition is impossible to understand.

Research software is software used by people to perform research.",Other,
C1,205,"I am happy to accept your definition but normally, I would consider the second half (the people) as distinct and separate category.",Other,
C1,207,"The purpose of this broad range of items is missing.
In other words, I would add something at the end of the sentence like at least: to support research. If not 'to support research capacities and projects'",Other,
C1,212,"This seems quite broad: what wouldn't count as research software under this definition? Is the Microsoft Office suite I use to draft my research paper ""research software""?",Other,
C1,223,I don't include people in my definition,Other,
C1,235,My interpretation of RS is software that is used to carry out research. ,Other,
C1,238,"Software is software. It is not hardware or people. 
A research software community would include people.
When software is deployed on a hardware system it may run as a platform or provide a service.
By your definition ""research software"" is practically everything so it means nothing.",Other,
C1,249,Not sure why research software would have to be 'emerging' and 'complex'.  It also doesn't include 'people'.,Other,
C1,253,"Research software is that which is needed for collecting, processing and manipulating research data across the research lifecycle.",Other,
C1,266,i don't consider people to be software. ,Other,
C1,267,Se sont des aides afin de parvenir  ,Other,
C1,272,"Research software is written to support and carry out research, for examples simulation codes, data analysis and machine learning applications and libraries, automation scripts, and web portals for collaborative research and data sharing.  Research software experts combine software expertise with research knowledge to create or maintain research software defined in this way.   The definition of research software should thus not include other digital research technologies that it interacts with, e.g. it should not include hardware nor non-research specific software such as contact  management systems, communications systems, or account management.",Other,
C1,274,"How can hardware be a subset of software? One can build software into hardware, but hardly the other way around. Software is a mathematical construct to process data and fit models, primarily, one would hope.",Other,
C1,288,"I would define research software as digital programs installed on your computer/licensed used to conduct research (e.g. NVivo). If I was pushed to extend it more broadly, I might include research tools/platforms (e.g. the DMP Assistant) which are browser-based. I'm not sure whether I would count platforms (or the content on platforms) that are being used as research materials (e.g. Twitter/tweets on twitter) as part of this definition.",Other,
C1,292,"There is no question that a variety of resources are needed to carry out computational research, but the term software becomes meaningless if it includes hardware, human resources, etc.",Other,
C1,300,"To me, software refers exclusively to code, not to hardware, and not to people developing or using the code (those are software developers or software users).",Other,
C1,323,"Pourrait être plus global, je n'associe pas logiciel et plateforme ou infrastructure de donnees de recherche avec logiciel",Other,
C1,324,"Data processing, simulation and analysis to generate patterns and scientific insights that otherwise would be hidden from us.",Other,
C1,326,I would not include the people as software,Other,
C1,338,Research software is any software that researchers develop to help further their research projects.,Other,
C1,349,"This definition is, extremely, far too vague.",Other,
C1,367,"I would rather not include directly hardware, knowing though that all softwares run on some sort of hardware.",Other,
C1,376,"I wouldn't have included people in the definition of software. They are within the ecosystem of the software, but not software itself.",Other,
C1,381,"- an &quot;emerging and complex intersection&quot; is vague
- disciplines and hardware are not &quot;software&quot;
- people are not &quot;software&quot;",Other,
C1,401,"Seems accurate. I would have expected mention of ""computers,"" ""computing,"" ""digital"" though.",Other,
C1,406,"I normally wouldn't have included hardware, but I suppose the hardware should be included to the extent that it is needed to run the software. I also typically do not include the people, but open to this definition...",Other,
C1,407,"This is too ambiguous, non-sense, full of big and trendy words, total non-sense",Other,
C1,417,Missing: algorithms,Other,
C1,418,I was pleased to see that you include users and software creators in your definition software itself.,Other,
C1,423,This is perhaps overly broad.,Other,
C1,425,"I would prefer a strict definition of ""software"" that confines it to program code to be executed on a computer system.",Other,
C1,433,"As far as I can tell, this definition is meaningless. I would define research software as `computer programs used for scientific research`. In particular, including `people` and `hardware` in the definition of `research software` is nonsensical.",Other,
C1,441,"Comment: that is the most vague description I have ever seen.

My definition: the programs/apps used by a computer to facilitate research",Other,
C1,442,"I find there is no clear definition of what research software is. Broadly speaking, it is a subset of software explicitly used to support research development and outreach. ",Other,
C1,445,You seem to confuse SOFTware with HARDware and the rest. Software is a very well defined word that does not need a re-definition. And I say this from the point of view of a computer scientist and software engineer. ,Other,
C1,452,"to me, research software is code that is run by a computer for research purposes",Other,
C1,458,"I think many people, and myself in years past, would have identified research software as only software — SPSS as an example, and would not have included platforms, tools, and people. ",Other,
C1,471,"I thought yes, but going further into the survey I'm now very confused.",Other,
C1,473,"I would define it as software supporting a research project to improve its quality, effectiveness, reliability, and/or costs. ",Other,
C1,476,"The definition is too broad and doesn't detail what research software actually is. It's a list,",Other,
C1,483,Too vague,Other,
C1,486,Terrible definition. What is NOT included here?  Stakeholders and hardware = RS?     Seems similar to the definition of DRI  - but at least that includes the word DIGITAL ,Other,
C1,489,"Definition peu comprehensible. ""intersection emergente et complexes d'outils ... ???",Other,
C1,497,"If the term is ""research software"" then by definition that must exclude disciplines, hardware, and people. It might also exclude ""resources"" depending on how that word is used. If keeping the definition above is a goal, then you need to use a different phrase than ""research software"" Rather, one way that I might define research software would be: ""The digital tools, applications, services, or platforms designed to enable specialized research objectives.""",Other,
C1,503,"I would not include hardware in the definition of a term including the word software - to me they are not the same. I consider research software to be the actual software programs used to conduct research or data analysis such as SPSS, NVivo, Excel, etc. I think the term defined breading is referring to Research Assets or Research Ecosystems inclusive of software, hardware, tools, and people.",Other,
C1,507,I don't think in terms of research software. I think in terms of libraries for R and Python.,Other,
C1,512,"I would not include the word emerging. Yes there is new research software being developed, however there is a wealth of existing software that is not contemplated if ""emerging"" is added. Or, could state ""existing and emerging""",Other,
C1,514,"I don't think this is a definition.  Remove the fluff and you're saying it's ""an intersection of tools"".  ""An emerging and complex intersection of tools, disciplines, services, platforms, hardware, and resources developed and used by people in various roles and disciplines to conduct or enable research.""",Other,
C1,523,"Cette definition represente le contexte d’utilisation et de creation des logiciels de recherche mais ne definit ni le terme logiciel, ni le terme recherche.",Other,
C1,524,Les logiciels de recherche devraient contenir egalement les outils techniques developpes par les chercheurs comme acteurs et non pas juste comme consommateur,Other,
C1,526,Research Software is Software developed specifically for the purposes of supporting research applications. ,Other,
C1,539,"In the end, this definition seems off. Software is software. If it doesn't have code, it isn't software. There are a lot of peripheral things, but research software is about code that does research, and/or is used by researchers to do (possibly in a guidance or interpretative way) research.",Other,
C1,542,"To me, Research Software refers more to custom-developed code to serve a particular requirement.  It does not really include commercial software, or open source software commonly available. ",Other,
C2,21,"As a research software developer and one that believes this should be delivered as a Software-as-a-Service (SaaS) service to all researchers, I'm answering yes.",Other,
C2,30,My research depends almost entirely on software use and development.,Other,
C2,35,"Yes, but ""research software"" based on my extended definition above.",Other,
C2,40,Genomics analysis is all software.,Other,
C2,46,We develop software on an ongoing basis; use existing research software.,Other,
C2,52,"Yes, but I wish we had more dedicated research software, not making do with MS Windows applications.",Other,
C2,59,"Given that definition it's hard to say, but I need to use survey software, analysis software, several programming tools and environments, and so on.

Do I develop research software? I have written code that is used by others, But who knows.",Other,
C2,72,"it's critical to the research of the people I support, not my own.",Other,
C2,105,ABSOLUETLY. IT IS AN ESSENTIAL PART CURRENTLY,Other,
C2,112,"En etant que je suis informaticien au support a la recherche pour toute l'universite. La reponse serait : pour la majorite de la communaute de recherche oui, les logiciels de recherche sont essentiels mais pas pour tous.",Other,
C2,113,"Je ne fais pas de recherche, je suis analyste en soutien.",Other,
C2,127,"My role do not include research, research Software is however critical to my work.",Other,
C2,137,not applicable,Other,
C2,181,"My research is entirely computational/ theoretical, and hence based on research software that either exists (usually) or is developed by us (sometimes)",Other,
C2,189,"By either definitions -- software (code) and all the necessary supports for that code (hardware, people, etc....) are critical to my research",Other,
C2,196,depends on what is meant with research software,Other,
C2,201,Absolutely. Custom written software is integral to all parts of our research projects.,Other,
C2,205,Research software as defined above is foundational to my work without which I would not be able to do what I do.,Other,
C2,207,research software as defined upper is crucial for real large collaboration between researchers; sharing information and discoveries; it's a leverage,Other,
C2,248,Pour mon poste il s'agit surtout de soutenir l'utilisation des logiciels de recherche.,Other,
C2,253,"Yes, without it research are reliant on standard software and manual workflows that block innovation.",Other,
C2,274,"If one has data, usually one requires software to treat them.",Other,
C2,330,"Our research is focussed on a continually developing numerical model for our applications, with associated scripts, and then the needed analysis and visualization tools.",Other,
C2,338,Our entire research program would not run if not for research software,Other,
C2,376,My job is to develop research software.,Other,
C2,406,"I am not doing research, but rather facilitating research. But it is essential to do that. ",Other,
C2,423,"Everything is digital, therefore everything requires software. Bu the above definition, it is almost impossible to conceive of a scenario where I would answer No.",Other,
C2,433,"Examples of software critical to my research are perfsonar, openstack, and xrootd.",Other,
C2,458,"With the more comprehensive definition, research software is fundamentally important to my research. ",Other,
C2,469,Essential,Other,
C2,473,"My team generally doesn't have access to them. Thus, we don't know how different it would be to have one available. I am sure it would help, though. ",Other,
C2,486,Well - when your definition is that broad - anybody who actually does research  will have to say YES.  Writing a paper with a word processor and emailing it to the journal apparently qualifies as using RS,Other,
C2,489,pas uniquement logiciel mais egalement le developpement du code en tant que tel. Le logiciel etant l'ensemble de l'œuvre.,Other,
C2,493,It's very important. It impacts the quality and efficiency of the work ,Other,
C2,503,And I would consider it even more critical if the expansive definition presented were the accepted definition. ,Other,
C2,507,"See above. Computational analysis of texts is essential but we don't use ""software"" per se.",Other,
C2,508,We're an analytical research group so use of software (particularly open-source) is extremely important.,Other,
C2,514,"NA, I do not conduct research, I am an RSE",Other,
C2,515,I don't do research? I work purely on infrastructure,Other,
C2,524,Il est necessaire d'en reutiliser mais surtout d'en construire dans ma recherche,Other,
C12,3,"hng1@queensu.ca

https://geodynamics.org/resources/specfem3dgeotech

I am also one of the main developers of these software packages:
https://geodynamics.org/resources/specfem3d
https://geodynamics.org/resources/specfem3dcartesian

We are preparing to release our ambitious software package called SPECFEM-X.",Other,
C12,21,"myLaminin has brought a blockchain-enabled research data-sharing service to market that was researcher-designed. A product of a 3-month pilot with Queen's University at Kingston, it has been very well received and addresses many of the operational requirements mentioned above. 

A case study summarizing that pilot initiative can be found here: https://www.mylaminin.net/downloads

Queen's has now committed to a 12-month user validation phase that will no doubt enhance the service and give an opportunity to further increase the value proposition.

We are an Ontario-based, Canadian company. Our contact information is:

Ash Bassili
ash@myLaminin.net
www.myLaminin.net
+14438243081",Other,
C12,22,"Jeffery Antoniuk <jeffery.antoniuk@ualberta.ca>
(1) https://www.islandora.ca/",Other,
C12,31,"Maxime Boissonneault, maxime.boissonneault@calculquebec.ca
https://github.com/ComputeCanada/magic_castle",Other,
C12,37,"Well, mine obviously. But I write all of it.",Other,
C12,53,"https://voyant-tools.org/
",Other,
C12,73,www.pmcobe.ca,Other,
C12,81,Geodisy/Lunaris was originally based in UBC,Other,
C12,91,We developed a platform in the Research Software program under CANARIE and it has been publicized,Other,
C12,105,"We develop 3D Slicer (www.slicer.org) for medical image analysis. The effort had been funded by Canarie.  The resource has been used worldwide, through over 1M downloads. ",Other,
C12,109,We created an internal solution to provide automation to our REB processes using Salesforce. ,Other,
C12,110,"https://github.com/hep-gc/cloudscheduler
https://indico.cern.ch/event/1222948/contributions/5321031/attachments/2621040/4531571/HEPiX-032023-CSV2.pdf
https://indico.jlab.org/event/459/contributions/11481/attachments/9688/14133/CHEP_CSV2.pdf
",Other,
C12,112,https://www.ogsl.ca/en/home-slgo/,Other,
C12,152,"Voyant Tools (voyant-tools.org) is widely used around the world. It has over 200,000 users a year. My contact information is Geoffrey Rockwell (grockwel@ualberta.ca)",Other,
C12,161,"adam.rankin@uwo.ca, 3D Slicer at https://www.slicer.org/",Other,
C12,164,MAX3D (https://max3d.mcmaster.ca/) is a 3D visualization software used to visualize x-ray diffraction in reciprocal space. It's been sponsored by Sharcnet under its DP program.,Other,
C12,177,"Scientific data management and workflow management services such as rucio, panda.",Other,
C12,191,This already is a national service but OpenStack has been amazing and has catalyzed a lot of research.  Also the CANFAR services https://www.canfar.net/en/ have been instrumental to my research.,Other,
C12,204,https://www.canfar.net/science-portal/,Other,
C12,207,"I was planning to prepare to form to appear on the Navigator as soon as the SD4Health platform will be ready
Nathalie.aerens@mcgill.ca",Other,
C12,212,Voyant Tools is an often-used and often cited piece of research software that has enabled new frontiers in humanities research.,Other,
C12,218,"https://paradim.science/
philippe.despres@phy.ulaval.ca",Other,
C12,233,"CANFAR 
https://www.canfar.net/en/",Other,
C12,238,kubernetes,Other,
C12,290,https://bhklab.ca/,Other,
C12,291,"Nous avons perdu recemment l'appui financier de l'institution, de l'equipe de developpement de logiciels de recherche (et du fond CANARIE non renouvele/lable) donc le logiciel est encore a l'etat de prototype...",Other,
C12,297,World-wide implementation of the UltraScan Science Gateway.,Other,
C12,310,"Our pilot project (https://omero.med.ualberta.ca/index/) is tool for all canadian scientists using light microscopy.  Raw data can be be visualized (an essential aspect for imaging data.  Metadata and code are linked to the raw and analyzed data.  The research software we developped, assist users for the generation of the metadata for the entire data life cycle.  The tool also has the intrinsic ability to connect to advanced research computing clusters for data processing and analysis.",Other,
C12,324,xxia@uottawa.ca,Other,
C12,327,You already host my Umple research software: https://www.umple.org,Other,
C12,329,"Everyone knows the good computing facilities are vital. We should stop having to justify this. If the present government considers things like AI, quantum-computing reserach, the design of ""green"" technology, and other things, to be important for Canada's future, they should be told by their scientific advisors that none of this can be done without good computing facilities.",Other,
C12,330,"Working on sharing ocean general circulation model code, forcing and output among the community - works now to some level, but could be done more efficiently.",Other,
C12,336,http://faculty.cbu.ca/jgerrie/Home/Type-in-Mania.html,Other,
C12,338,RStudio: https://posit.co/products/open-source/rstudio/,Other,
C12,363,"Catherine Jardine, Birds Canada cjardine@birdscanada.org
NatureCounts data collection app: https://naturecounts.ca/nc/default/nc_app.jsp
NatureCounts Open Access Data Platform: https://naturecounts.ca/nc/default/explore.jsp#download
Motus Wildlife Tracking System: https://motus.org/
",Other,
C12,364,CANFAR ARCADES has been absolutely amazing https://www.canfar.net/en/,Other,
C12,381,"Michael Hoffman &lt;michael.hoffman@utoronto.ca&gt;
https://usegalaxy.org/",Other,
C12,390,DICE software package,Other,
C12,392,"Sure, but not at this moment,",Other,
C12,401,"AWS cloud, specifically CloudFormation, Batch, StepFunctions, Cognito, IAM, ECS, EC2. Cloud databases would be great too, but not on the AWS model (e.g., Dynamo). Maybe something more like Big Table or managed Postgres instances.",Other,
C12,408,https://www.snowflake.com/en/,Other,
C12,424,"leme.library.utoronto.ca and leme.utoronto.ca
",Other,
C12,425,https://www.openlayers.org,Other,
C12,447,IrisBG,Other,
C12,473,The REDcap platform has been very useful for our research team over the last three years. ,Other,
C12,474,"I use the Wolfram Language (Mathematica) for my own research and for development in small teams of digital humanists. I also teach it to undergrads from across the university. I have an open-access, open-source, open-content course on digital research methods available here https://williamjturkel.net/digital-research-methods-with-mathematica/",Other,
C12,475,https://posit.co/products/open-source/shinyserver/,Other,
C12,479,"hng1@queensu.ca

https://geodynamics.org/resources/specfem3dgeotech

I am also one of the main developers of these software packages:
https://geodynamics.org/resources/specfem3d
https://geodynamics.org/resources/specfem3dcartesian

We are preparing to release our ambitious software package called SPECFEM-X.",Other,
C12,497,"myLaminin has brought a blockchain-enabled research data-sharing service to market that was researcher-designed. A product of a 3-month pilot with Queen's University at Kingston, it has been very well received and addresses many of the operational requirements mentioned above. 

A case study summarizing that pilot initiative can be found here: https://www.mylaminin.net/downloads

Queen's has now committed to a 12-month user validation phase that will no doubt enhance the service and give an opportunity to further increase the value proposition.

We are an Ontario-based, Canadian company. Our contact information is:

Ash Bassili
ash@myLaminin.net
www.myLaminin.net
+14438243081",Other,
C12,498,"Jeffery Antoniuk <jeffery.antoniuk@ualberta.ca>
(1) https://www.islandora.ca/",Other,
C12,507,"Maxime Boissonneault, maxime.boissonneault@calculquebec.ca
https://github.com/ComputeCanada/magic_castle",Other,
C12,513,"Well, mine obviously. But I write all of it.",Other,
C12,529,"https://voyant-tools.org/
",Other,
C12,549,www.pmcobe.ca,Other,
C12,557,Geodisy/Lunaris was originally based in UBC,Other,
C12,567,We developed a platform in the Research Software program under CANARIE and it has been publicized,Other,
C12,581,"We develop 3D Slicer (www.slicer.org) for medical image analysis. The effort had been funded by Canarie.  The resource has been used worldwide, through over 1M downloads. ",Other,
C12,585,We created an internal solution to provide automation to our REB processes using Salesforce. ,Other,
C12,586,"https://github.com/hep-gc/cloudscheduler
https://indico.cern.ch/event/1222948/contributions/5321031/attachments/2621040/4531571/HEPiX-032023-CSV2.pdf
https://indico.jlab.org/event/459/contributions/11481/attachments/9688/14133/CHEP_CSV2.pdf
",Other,
C12,588,https://www.ogsl.ca/en/home-slgo/,Other,
C12,628,"Voyant Tools (voyant-tools.org) is widely used around the world. It has over 200,000 users a year. My contact information is Geoffrey Rockwell (grockwel@ualberta.ca)",Other,
C12,637,"adam.rankin@uwo.ca, 3D Slicer at https://www.slicer.org/",Other,
C12,640,MAX3D (https://max3d.mcmaster.ca/) is a 3D visualization software used to visualize x-ray diffraction in reciprocal space. It's been sponsored by Sharcnet under its DP program.,Other,
C12,653,"Scientific data management and workflow management services such as rucio, panda.",Other,
C12,667,This already is a national service but OpenStack has been amazing and has catalyzed a lot of research.  Also the CANFAR services https://www.canfar.net/en/ have been instrumental to my research.,Other,
C12,680,https://www.canfar.net/science-portal/,Other,
C12,683,"I was planning to prepare to form to appear on the Navigator as soon as the SD4Health platform will be ready
Nathalie.aerens@mcgill.ca",Other,
C12,688,Voyant Tools is an often-used and often cited piece of research software that has enabled new frontiers in humanities research.,Other,
C12,694,"https://paradim.science/
philippe.despres@phy.ulaval.ca",Other,
C12,709,"CANFAR 
https://www.canfar.net/en/",Other,
C12,714,kubernetes,Other,
C12,766,https://bhklab.ca/,Other,
C12,767,"Nous avons perdu recemment l'appui financier de l'institution, de l'equipe de developpement de logiciels de recherche (et du fond CANARIE non renouvele/lable) donc le logiciel est encore a l'etat de prototype...",Other,
C12,773,World-wide implementation of the UltraScan Science Gateway.,Other,
C12,786,"Our pilot project (https://omero.med.ualberta.ca/index/) is tool for all canadian scientists using light microscopy.  Raw data can be be visualized (an essential aspect for imaging data.  Metadata and code are linked to the raw and analyzed data.  The research software we developped, assist users for the generation of the metadata for the entire data life cycle.  The tool also has the intrinsic ability to connect to advanced research computing clusters for data processing and analysis.",Other,
C12,800,xxia@uottawa.ca,Other,
C12,803,You already host my Umple research software: https://www.umple.org,Other,
C12,805,"Everyone knows the good computing facilities are vital. We should stop having to justify this. If the present government considers things like AI, quantum-computing reserach, the design of ""green"" technology, and other things, to be important for Canada's future, they should be told by their scientific advisors that none of this can be done without good computing facilities.",Other,
C12,806,"Working on sharing ocean general circulation model code, forcing and output among the community - works now to some level, but could be done more efficiently.",Other,
C12,812,http://faculty.cbu.ca/jgerrie/Home/Type-in-Mania.html,Other,
C12,814,RStudio: https://posit.co/products/open-source/rstudio/,Other,
C12,839,"Catherine Jardine, Birds Canada cjardine@birdscanada.org
NatureCounts data collection app: https://naturecounts.ca/nc/default/nc_app.jsp
NatureCounts Open Access Data Platform: https://naturecounts.ca/nc/default/explore.jsp#download
Motus Wildlife Tracking System: https://motus.org/
",Other,
C12,840,CANFAR ARCADES has been absolutely amazing https://www.canfar.net/en/,Other,
C12,857,"Michael Hoffman &lt;michael.hoffman@utoronto.ca&gt;
https://usegalaxy.org/",Other,
C12,866,DICE software package,Other,
C12,868,"Sure, but not at this moment,",Other,
C12,877,"AWS cloud, specifically CloudFormation, Batch, StepFunctions, Cognito, IAM, ECS, EC2. Cloud databases would be great too, but not on the AWS model (e.g., Dynamo). Maybe something more like Big Table or managed Postgres instances.",Other,
C12,884,https://www.snowflake.com/en/,Other,
C12,900,"leme.library.utoronto.ca and leme.utoronto.ca
",Other,
C12,901,https://www.openlayers.org,Other,
C12,923,IrisBG,Other,
C12,949,The REDcap platform has been very useful for our research team over the last three years. ,Other,
C12,950,"I use the Wolfram Language (Mathematica) for my own research and for development in small teams of digital humanists. I also teach it to undergrads from across the university. I have an open-access, open-source, open-content course on digital research methods available here https://williamjturkel.net/digital-research-methods-with-mathematica/",Other,
C12,951,https://posit.co/products/open-source/shinyserver/,Other,
D3,22,"CANARIE, Mellon Foundation",CANARIE,
D3,22,"CANARIE, Mellon Foundation",Mellon Foundation,
D3,35,CANARIE,CANARIE,
D3,42,"CANARIE, CFI Cyber I, Genome Canada",CANARIE,
D3,42,"CANARIE, CFI Cyber I, Genome Canada",CFI,
D3,42,"CANARIE, CFI Cyber I, Genome Canada",Genome Canada,
D3,46,CANARIE,CANARIE,
D3,49,Yes.,NA,
D3,67,"CFI, CIHR, UBC, OICR",CFI,
D3,67,"CFI, CIHR, UBC, OICR",CIHR,
D3,67,"CFI, CIHR, UBC, OICR",UBC,
D3,67,"CFI, CIHR, UBC, OICR",OICR,
D3,81,CANARIE,CANARIE,
D3,84,"CFI, SSHRC",CFI,
D3,84,"CFI, SSHRC",SSHRC,
D3,91,CANARIE Research Software,CANARIE,
D3,105,"Canarie
Chan Zuckerberg Open Source Software",CANARIE,
D3,111,CANARIE,CANARIE,
D3,125,Canarie,CANARIE,
D3,138,CANARIE,CANARIE,
D3,148,CANARIE Research Software,CANARIE,
D3,151,CANARIE Research Software,CANARIE,
D3,152,CFI,CFI,
D3,161,I was partially funded by a CANARIE grant,CANARIE,
D3,174,Both CANARIE and CFI,CANARIE,
D3,174,Both CANARIE and CFI,CFI,
D3,191,"CANARIE, CFI",CANARIE,
D3,191,"CANARIE, CFI",CFI,
D3,192,CANARIE,CANARIE,
D3,201,CFI,CFI,
D3,218,"CANARIE (mais au final c'est l'Universite qui a reçu l'argent, et je n'ai pas pu en profiter)
Societe canadienne du cancer (Data Transformation Grant)
FRQS (appel bilateral avec Baviere)",CANARIE,
D3,231,"CFI within a larger infrastructure application, NSERC",CFI,
D3,231,"CFI within a larger infrastructure application, NSERC",NSERC,
D3,235,CANARIE Research Software,CANARIE,
D3,238,Canarie,CANARIE,
D3,273,CANARIE and CFI,CANARIE,
D3,273,CANARIE and CFI,CFI,
D3,275,CRSNG - RDA,CRSNG,
D3,290,Canadian Cancer Society Data Transformation grant,Canadian Cancer Society Data Transformation grant,
D3,291,CANARIE (par l'equipe de Developpement de Logiciels de Recherche) de mon Universite (Ottawa),CANARIE,
D3,307,CANARIE,CANARIE,
D3,310,"Chan Zuckerberg,
Tanenbaum Open Science Institute
Molson Family Foundation
Center for Open Science",CZI,
D3,310,"Chan Zuckerberg,
Tanenbaum Open Science Institute
Molson Family Foundation
Center for Open Science",Tanenbaum Open Science Institute,
D3,310,"Chan Zuckerberg,
Tanenbaum Open Science Institute
Molson Family Foundation
Center for Open Science",Molson Family Foundation,
D3,310,"Chan Zuckerberg,
Tanenbaum Open Science Institute
Molson Family Foundation
Center for Open Science",Center for Open Science,
D3,330,MEOPAR NCE,MEOPAR NCE,
D3,338,"CZI, NIH, CFI Cyberinfrastructure, Genome Canada technology development",CZI,
D3,338,"CZI, NIH, CFI Cyberinfrastructure, Genome Canada technology development",NIH,
D3,338,"CZI, NIH, CFI Cyberinfrastructure, Genome Canada technology development",CFI,
D3,338,"CZI, NIH, CFI Cyberinfrastructure, Genome Canada technology development",Genome Canada,
D3,341,CANARIE,CANARIE,
D3,363,CANARIE,CANARIE,
D3,406,CANARIE,CANARIE,
D3,435,CFI,CFI,
D3,482,CANARIE Research Software,CANARIE,
D3,483,CANARIE and CFI,CANARIE,
D3,483,CANARIE and CFI,CFI,
D3,495,CFI,CFI,
D3,500,"CANARIE, CFI, CIHR/EU",CANARIE,
D3,500,"CANARIE, CFI, CIHR/EU",CFI,
D3,500,"CANARIE, CFI, CIHR/EU",CIHR,
D3,508,"CIHR, The Alliance (Data Champion and COVID-19 Data Curation grants)",CIHR,
D3,508,"CIHR, The Alliance (Data Champion and COVID-19 Data Curation grants)",The Alliance,
D3,518,CFI,CFI,
D3,523,FCI pour le premier defi de l'Initiative sur la cyberinfrastructure,CFI,
D3,528,CANARIE,CANARIE,
D3,535,CFI and I believe CANARIE (at least indirectly,CFI,
D3,535,CFI and I believe CANARIE (at least indirectly,CANARIE,
D3,539,Canarie,CANARIE,
D3,541,CANARIE,CANARIE,
D3,542,CANARIE,CANARIE,
D5,21,CEO,Other,
