"","Internal.ID","answer","answer_n"
"29",205,"I am happy to accept your definition but normally, I would consider the second half (the people) as distinct and separate category.","Other"
"30",207,"The purpose of this broad range of items is missing.
In other words, I would add something at the end of the sentence like at least: to support research. If not 'to support research capacities and projects'","Other"
"31",212,"This seems quite broad: what wouldn't count as research software under this definition? Is the Microsoft Office suite I use to draft my research paper ""research software""?","Other"
"32",223,"I don't include people in my definition","Other"
"33",235,"My interpretation of RS is software that is used to carry out research. ","Other"
"34",238,"Software is software. It is not hardware or people. 
A research software community would include people.
When software is deployed on a hardware system it may run as a platform or provide a service.
By your definition ""research software"" is practically everything so it means nothing.","Other"
"35",249,"Not sure why research software would have to be 'emerging' and 'complex'.  It also doesn't include 'people'.","Other"
"36",253,"Research software is that which is needed for collecting, processing and manipulating research data across the research lifecycle.","Other"
"37",266,"i don't consider people to be software. ","Other"
"38",267,"Se sont des aides afin de parvenir  ","Other"
"39",272,"Research software is written to support and carry out research, for examples simulation codes, data analysis and machine learning applications and libraries, automation scripts, and web portals for collaborative research and data sharing.  Research software experts combine software expertise with research knowledge to create or maintain research software defined in this way.   The definition of research software should thus not include other digital research technologies that it interacts with, e.g. it should not include hardware nor non-research specific software such as contact  management systems, communications systems, or account management.","Other"
"40",274,"How can hardware be a subset of software? One can build software into hardware, but hardly the other way around. Software is a mathematical construct to process data and fit models, primarily, one would hope.","Other"
"41",288,"I would define research software as digital programs installed on your computer/licensed used to conduct research (e.g. NVivo). If I was pushed to extend it more broadly, I might include research tools/platforms (e.g. the DMP Assistant) which are browser-based. I'm not sure whether I would count platforms (or the content on platforms) that are being used as research materials (e.g. Twitter/tweets on twitter) as part of this definition.","Other"
"42",292,"There is no question that a variety of resources are needed to carry out computational research, but the term software becomes meaningless if it includes hardware, human resources, etc.","Other"
"43",300,"To me, software refers exclusively to code, not to hardware, and not to people developing or using the code (those are software developers or software users).","Other"
"44",323,"Pourrait être plus global, je n'associe pas logiciel et plateforme ou infrastructure de donnees de recherche avec logiciel","Other"
"45",324,"Data processing, simulation and analysis to generate patterns and scientific insights that otherwise would be hidden from us.","Other"
"46",326,"I would not include the people as software","Other"
"47",338,"Research software is any software that researchers develop to help further their research projects.","Other"
"48",349,"This definition is, extremely, far too vague.","Other"
"49",367,"I would rather not include directly hardware, knowing though that all softwares run on some sort of hardware.","Other"
"50",376,"I wouldn't have included people in the definition of software. They are within the ecosystem of the software, but not software itself.","Other"
"51",381,"- an &quot;emerging and complex intersection&quot; is vague
- disciplines and hardware are not &quot;software&quot;
- people are not &quot;software&quot;","Other"
"52",401,"Seems accurate. I would have expected mention of ""computers,"" ""computing,"" ""digital"" though.","Other"
"53",406,"I normally wouldn't have included hardware, but I suppose the hardware should be included to the extent that it is needed to run the software. I also typically do not include the people, but open to this definition...","Other"
"54",407,"This is too ambiguous, non-sense, full of big and trendy words, total non-sense","Other"
"55",417,"Missing: algorithms","Other"
"56",418,"I was pleased to see that you include users and software creators in your definition software itself.","Other"
"57",423,"This is perhaps overly broad.","Other"
"58",425,"I would prefer a strict definition of ""software"" that confines it to program code to be executed on a computer system.","Other"
"59",433,"As far as I can tell, this definition is meaningless. I would define research software as `computer programs used for scientific research`. In particular, including `people` and `hardware` in the definition of `research software` is nonsensical.","Other"
"60",441,"Comment: that is the most vague description I have ever seen.

My definition: the programs/apps used by a computer to facilitate research","Other"
"61",442,"I find there is no clear definition of what research software is. Broadly speaking, it is a subset of software explicitly used to support research development and outreach. ","Other"
"62",445,"You seem to confuse SOFTware with HARDware and the rest. Software is a very well defined word that does not need a re-definition. And I say this from the point of view of a computer scientist and software engineer. ","Other"
"63",452,"to me, research software is code that is run by a computer for research purposes","Other"
"64",458,"I think many people, and myself in years past, would have identified research software as only software — SPSS as an example, and would not have included platforms, tools, and people. ","Other"
"65",471,"I thought yes, but going further into the survey I'm now very confused.","Other"
"66",473,"I would define it as software supporting a research project to improve its quality, effectiveness, reliability, and/or costs. ","Other"
"67",476,"The definition is too broad and doesn't detail what research software actually is. It's a list,","Other"
"68",483,"Too vague","Other"
"69",486,"Terrible definition. What is NOT included here?  Stakeholders and hardware = RS?     Seems similar to the definition of DRI  - but at least that includes the word DIGITAL ","Other"
"70",489,"Definition peu comprehensible. ""intersection emergente et complexes d'outils ... ???","Other"
"71",497,"If the term is ""research software"" then by definition that must exclude disciplines, hardware, and people. It might also exclude ""resources"" depending on how that word is used. If keeping the definition above is a goal, then you need to use a different phrase than ""research software"" Rather, one way that I might define research software would be: ""The digital tools, applications, services, or platforms designed to enable specialized research objectives.""","Other"
"72",503,"I would not include hardware in the definition of a term including the word software - to me they are not the same. I consider research software to be the actual software programs used to conduct research or data analysis such as SPSS, NVivo, Excel, etc. I think the term defined breading is referring to Research Assets or Research Ecosystems inclusive of software, hardware, tools, and people.","Other"
"73",507,"I don't think in terms of research software. I think in terms of libraries for R and Python.","Other"
"74",512,"I would not include the word emerging. Yes there is new research software being developed, however there is a wealth of existing software that is not contemplated if ""emerging"" is added. Or, could state ""existing and emerging""","Other"
"75",514,"I don't think this is a definition.  Remove the fluff and you're saying it's ""an intersection of tools"".  ""An emerging and complex intersection of tools, disciplines, services, platforms, hardware, and resources developed and used by people in various roles and disciplines to conduct or enable research.""","Other"
"76",523,"Cette definition represente le contexte d’utilisation et de creation des logiciels de recherche mais ne definit ni le terme logiciel, ni le terme recherche.","Other"
"77",524,"Les logiciels de recherche devraient contenir egalement les outils techniques developpes par les chercheurs comme acteurs et non pas juste comme consommateur","Other"
"78",526,"Research Software is Software developed specifically for the purposes of supporting research applications. ","Other"
"79",539,"In the end, this definition seems off. Software is software. If it doesn't have code, it isn't software. There are a lot of peripheral things, but research software is about code that does research, and/or is used by researchers to do (possibly in a guidance or interpretative way) research.","Other"
"80",542,"To me, Research Software refers more to custom-developed code to serve a particular requirement.  It does not really include commercial software, or open source software commonly available. ","Other"
